Number of path segments
0
Mode x y z pmod param
1 0.14 0.00775 0.11562500 0 15.0
1 0.14 0.00775 0.11718750 0 3.0 
0 0.02 0.00775 0.11718750 1 0.003935
1 0.02 0.00475 0.11718750 0 18.0
0 0.14 0.00475 0.11718750 1 0.003935
1 0.14 0.00475 0.11718750 0 15.0
1 0.14 0.00475 0.11875000 0 3.0 
0 0.02 0.00475 0.11875000 1 0.003935
1 0.02 0.00775 0.11875000 0 18.0
0 0.14 0.00775 0.11875000 1 0.003935
1 0.14 0.00775 0.11875000 0 15.0
1 0.14 0.00775 0.12031250 0 3.0 
0 0.02 0.00775 0.12031250 1 0.003935
1 0.02 0.00475 0.12031250 0 18.0
0 0.14 0.00475 0.12031250 1 0.003935
1 0.14 0.00475 0.12031250 0 15.0
1 0.14 0.00475 0.12187500 0 3.0 
0 0.02 0.00475 0.12187500 1 0.003935
1 0.02 0.00775 0.12187500 0 18.0
0 0.14 0.00775 0.12187500 1 0.003935
1 0.14 0.00775 0.12187500 0 15.0
1 0.14 0.00775 0.12343750 0 3.0 
0 0.02 0.00775 0.12343750 1 0.003935
1 0.02 0.00475 0.12343750 0 18.0
0 0.14 0.00475 0.12343750 1 0.003935
1 0.14 0.00475 0.12343750 0 15.0
1 0.14 0.00475 0.12500000 0 3.0 
0 0.02 0.00475 0.12500000 1 0.003935
1 0.14 0.00775 0.12500000 0 18.0
0 0.02 0.00775 0.12500000 1 0.003935
1 0.02 0.00775 0.12500000 0 15.0
1 0.02 0.00775 0.12656250 0 3.0 
0 0.14 0.00775 0.12656250 1 0.003935
1 0.02 0.00475 0.12656250 0 18.0
0 0.14 0.00475 0.12656250 1 0.003935
1 0.14 0.00475 0.12656250 0 15.0
1 0.14 0.00475 0.12812500 0 3.0 
0 0.02 0.00475 0.12812500 1 0.003935
1 0.14 0.00775 0.12812500 0 18.0
0 0.02 0.00775 0.12812500 1 0.003935
1 0.02 0.00775 0.12812500 0 15.0
1 0.02 0.00775 0.12968750 0 3.0 
0 0.14 0.00775 0.12968750 1 0.003935
1 0.02 0.00475 0.12968750 0 18.0
0 0.14 0.00475 0.12968750 1 0.003935
1 0.14 0.00475 0.12968750 0 15.0
1 0.14 0.00475 0.13125000 0 3.0 
0 0.02 0.00475 0.13125000 1 0.003935
1 0.14 0.00775 0.13125000 0 18.0
0 0.02 0.00775 0.13125000 1 0.003935
1 0.02 0.00775 0.13125000 0 15.0
1 0.02 0.00775 0.13281250 0 3.0 
0 0.14 0.00775 0.13281250 1 0.003935
1 0.02 0.00475 0.13281250 0 18.0
0 0.14 0.00475 0.13281250 1 0.003935
1 0.14 0.00475 0.13281250 0 15.0
1 0.14 0.00475 0.13437500 0 3.0 
0 0.02 0.00475 0.13437500 1 0.003935
1 0.14 0.00775 0.13437500 0 18.0
0 0.02 0.00775 0.13437500 1 0.003935
1 0.02 0.00775 0.13437500 0 15.0
1 0.02 0.00775 0.13593750 0 3.0 
0 0.14 0.00775 0.13593750 1 0.003935
1 0.02 0.00475 0.13593750 0 18.0
0 0.14 0.00475 0.13593750 1 0.003935
1 0.14 0.00475 0.13593750 0 15.0
1 0.14 0.00475 0.13750000 0 3.0 
0 0.02 0.00475 0.13750000 1 0.003935
1 0.14 0.00775 0.13750000 0 18.0
0 0.02 0.00775 0.13750000 1 0.003935
1 0.02 0.00775 0.13750000 0 15.0
1 0.02 0.00775 0.13906250 0 3.0 
0 0.14 0.00775 0.13906250 1 0.003935
1 0.02 0.00475 0.13906250 0 18.0
0 0.14 0.00475 0.13906250 1 0.003935
1 0.14 0.00475 0.13906250 0 15.0
1 0.14 0.00475 0.14062500 0 3.0 
0 0.02 0.00475 0.14062500 1 0.003935
1 0.14 0.00775 0.14062500 0 18.0
0 0.02 0.00775 0.14062500 1 0.003935
1 0.02 0.00775 0.14062500 0 15.0
1 0.02 0.00775 0.14218750 0 3.0 
0 0.14 0.00775 0.14218750 1 0.003935
1 0.02 0.00475 0.14218750 0 18.0
0 0.14 0.00475 0.14218750 1 0.003935
1 0.14 0.00475 0.14218750 0 15.0
1 0.14 0.00475 0.14375000 0 3.0 
0 0.02 0.00475 0.14375000 1 0.003935
1 0.14 0.00775 0.14375000 0 18.0
0 0.02 0.00775 0.14375000 1 0.003935
1 0.02 0.00775 0.14375000 0 15.0
1 0.02 0.00775 0.14531250 0 3.0 
0 0.14 0.00775 0.14531250 1 0.003935
1 0.02 0.00475 0.14531250 0 18.0
0 0.14 0.00475 0.14531250 1 0.003935
1 0.14 0.00475 0.14531250 0 15.0
1 0.14 0.00475 0.14687500 0 3.0 
0 0.02 0.00475 0.14687500 1 0.003935
1 0.14 0.00775 0.14687500 0 18.0
0 0.02 0.00775 0.14687500 1 0.003935
1 0.02 0.00775 0.14687500 0 15.0
1 0.02 0.00775 0.14843750 0 3.0 
0 0.14 0.00775 0.14843750 1 0.003935
1 0.02 0.00475 0.14843750 0 18.0
0 0.14 0.00475 0.14843750 1 0.003935
1 0.14 0.00475 0.14843750 0 15.0
1 0.14 0.00475 0.15000000 0 3.0 
0 0.02 0.00475 0.15000000 1 0.003935
1 0.02 0.00775 0.15000000 0 18.0
0 0.14 0.00775 0.15000000 1 0.003935
1 0.14 0.00775 0.15000000 0 15.0
1 0.14 0.00475 0.15156250 0 3.0 
0 0.02 0.00475 0.15156250 1 0.003935
1 0.02 0.00775 0.15156250 0 18.0
0 0.14 0.00775 0.15156250 1 0.003935
1 0.14 0.00775 0.15156250 0 15.0
1 0.14 0.00475 0.15312500 0 3.0 
0 0.02 0.00475 0.15312500 1 0.003935
1 0.02 0.00775 0.15312500 0 18.0
0 0.14 0.00775 0.15312500 1 0.003935
1 0.14 0.00775 0.15312500 0 15.0
1 0.14 0.00475 0.15468750 0 3.0 
0 0.02 0.00475 0.15468750 1 0.003935
1 0.02 0.00775 0.15468750 0 18.0
0 0.14 0.00775 0.15468750 1 0.003935
1 0.14 0.00775 0.15468750 0 15.0
1 0.14 0.00475 0.15625000 0 3.0 
0 0.02 0.00475 0.15625000 1 0.003935
