Number of path segments
0
Mode x y z pmod param
0 0.127 0.00475 0.10931250 1 0.003935
1 0.127 0.00475 0.10931250 0 63.0
1 0.127 0.00475 0.11087500 0 3.0 
0 0.027 0.00475 0.11087500 1 0.003935
1 0.027 0.00775 0.11087500 0 18.0
0 0.127 0.00775 0.11087500 1 0.003935
1 0.127 0.00775 0.11087500 0 63.0
1 0.127 0.00775 0.11243750 0 3.0 
0 0.027 0.00775 0.11243750 1 0.003935
1 0.027 0.00475 0.11243750 0 18.0
0 0.127 0.00475 0.11243750 1 0.003935
1 0.127 0.00475 0.11243750 0 63.0
1 0.127 0.00475 0.11400000 0 3.0 
0 0.027 0.00475 0.11400000 1 0.003935
1 0.027 0.00775 0.11400000 0 18.0
0 0.127 0.00775 0.11400000 1 0.003935
1 0.127 0.00775 0.11400000 0 15.0
1 0.127 0.00775 0.11556250 0 3.0 
0 0.027 0.00775 0.11556250 1 0.003935
1 0.027 0.00475 0.11556250 0 18.0
0 0.127 0.00475 0.11556250 1 0.003935
1 0.127 0.00475 0.11556250 0 15.0
1 0.127 0.00475 0.11712500 0 3.0 
0 0.027 0.00475 0.11712500 1 0.003935
1 0.027 0.00775 0.11712500 0 18.0
0 0.127 0.00775 0.11712500 1 0.003935
1 0.127 0.00775 0.11712500 0 15.0
1 0.127 0.00775 0.11868750 0 3.0 
0 0.027 0.00775 0.11868750 1 0.003935
1 0.027 0.00475 0.11868750 0 18.0
0 0.127 0.00475 0.11868750 1 0.003935
1 0.127 0.00475 0.11868750 0 15.0
1 0.127 0.00475 0.12025000 0 3.0 
0 0.027 0.00475 0.12025000 1 0.003935
1 0.027 0.00775 0.12025000 0 18.0
0 0.127 0.00775 0.12025000 1 0.003935
1 0.127 0.00775 0.12025000 0 15.0
1 0.127 0.00775 0.12181250 0 3.0 
0 0.027 0.00775 0.12181250 1 0.003935
1 0.027 0.00475 0.12181250 0 18.0
0 0.127 0.00475 0.12181250 1 0.003935
1 0.127 0.00475 0.12181250 0 15.0
1 0.127 0.00475 0.12337500 0 3.0 
0 0.027 0.00475 0.12337500 1 0.003935
1 0.027 0.00775 0.12337500 0 18.0
0 0.127 0.00775 0.12337500 1 0.003935
1 0.127 0.00775 0.12337500 0 15.0
1 0.127 0.00775 0.12493750 0 3.0 
0 0.027 0.00775 0.12493750 1 0.003935
1 0.027 0.00475 0.12493750 0 18.0
0 0.127 0.00475 0.12493750 1 0.003935
1 0.127 0.00475 0.12493750 0 15.0
1 0.127 0.00475 0.12650000 0 3.0 
0 0.027 0.00475 0.12650000 1 0.003935
1 0.027 0.00775 0.12650000 0 18.0
0 0.127 0.00775 0.12650000 1 0.003935
1 0.127 0.00775 0.12650000 0 15.0
1 0.127 0.00775 0.12806250 0 3.0 
0 0.027 0.00775 0.12806250 1 0.003935
1 0.027 0.00475 0.12806250 0 18.0
0 0.127 0.00475 0.12806250 1 0.003935
1 0.127 0.00475 0.12806250 0 15.0
1 0.127 0.00475 0.12962500 0 3.0 
0 0.027 0.00475 0.12962500 1 0.003935
1 0.027 0.00775 0.12962500 0 18.0
0 0.127 0.00775 0.12962500 1 0.003935
1 0.127 0.00775 0.12962500 0 15.0
1 0.127 0.00775 0.13118750 0 3.0 
0 0.027 0.00775 0.13118750 1 0.003935
1 0.027 0.00475 0.13118750 0 18.0
0 0.127 0.00475 0.13118750 1 0.003935
1 0.127 0.00475 0.13118750 0 15.0
1 0.127 0.00475 0.13275000 0 3.0 
0 0.027 0.00475 0.13275000 1 0.003935
1 0.027 0.00775 0.13275000 0 18.0
0 0.127 0.00775 0.13275000 1 0.003935
1 0.127 0.00775 0.13275000 0 63.0
1 0.127 0.00775 0.13431250 0 3.0 
0 0.027 0.00775 0.13431250 1 0.003935
1 0.027 0.00475 0.13431250 0 18.0
0 0.127 0.00475 0.13431250 1 0.003935
1 0.127 0.00475 0.13431250 0 63.0
1 0.127 0.00475 0.13587500 0 3.0 
0 0.027 0.00475 0.13587500 1 0.003935
1 0.027 0.00775 0.13587500 0 18.0
0 0.127 0.00775 0.13587500 1 0.003935
1 0.127 0.00775 0.13587500 0 63.0
1 0.127 0.00775 0.13743750 0 3.0 
0 0.027 0.00775 0.13743750 1 0.003935
1 0.027 0.00475 0.13743750 0 18.0
0 0.127 0.00475 0.13743750 1 0.003935
1 0.127 0.00475 0.13743750 0 63.0
1 0.127 0.00475 0.13900000 0 3.0 
0 0.027 0.00475 0.13900000 1 0.003935
1 0.027 0.00775 0.13900000 0 18.0
0 0.127 0.00775 0.13900000 1 0.003935
1 0.127 0.00775 0.13900000 0 63.0
1 0.127 0.00775 0.14056250 0 3.0 
0 0.027 0.00775 0.14056250 1 0.003935
1 0.027 0.00475 0.14056250 0 18.0
0 0.127 0.00475 0.14056250 1 0.003935
1 0.127 0.00475 0.14056250 0 63.0
1 0.127 0.00475 0.14212500 0 3.0 
0 0.027 0.00475 0.14212500 1 0.003935
1 0.027 0.00775 0.14212500 0 18.0
0 0.127 0.00775 0.14212500 1 0.003935
1 0.127 0.00775 0.14212500 0 63.0
1 0.127 0.00775 0.14368750 0 3.0 
0 0.027 0.00775 0.14368750 1 0.003935
1 0.027 0.00475 0.14368750 0 18.0
0 0.127 0.00475 0.14368750 1 0.003935
1 0.127 0.00475 0.14368750 0 63.0
1 0.127 0.00475 0.14525000 0 3.0 
0 0.027 0.00475 0.14525000 1 0.003935
1 0.027 0.00775 0.14525000 0 18.0
0 0.127 0.00775 0.14525000 1 0.003935
1 0.127 0.00775 0.14525000 0 63.0
1 0.127 0.00775 0.14681250 0 3.0 
0 0.027 0.00775 0.14681250 1 0.003935
1 0.027 0.00475 0.14681250 0 18.0
0 0.127 0.00475 0.14681250 1 0.003935
1 0.127 0.00475 0.14681250 0 63.0
1 0.127 0.00475 0.14837500 0 3.0 
0 0.027 0.00475 0.14837500 1 0.003935
1 0.027 0.00775 0.14837500 0 18.0
0 0.127 0.00775 0.14837500 1 0.003935
1 0.127 0.00775 0.14837500 0 63.0
1 0.127 0.00775 0.14993750 0 3.0 
0 0.027 0.00775 0.14993750 1 0.003935
1 0.027 0.00475 0.14993750 0 18.0
0 0.127 0.00475 0.14993750 1 0.003935
1 0.127 0.00475 0.14993750 0 63.0
