Number of path segments
0
Mode x y z pmod param
1 0.127 0.00475 0.07650000 0 3.0 
0 0.027 0.00475 0.07650000 1 0.003935
1 0.027 0.00775 0.07650000 0 18.0
0 0.127 0.00775 0.07650000 1 0.003935
1 0.127 0.00775 0.07650000 0 15.0
1 0.127 0.00775 0.07806250 0 3.0 
0 0.027 0.00775 0.07806250 1 0.003935
1 0.027 0.00475 0.07806250 0 18.0
0 0.127 0.00475 0.07806250 1 0.003935
1 0.127 0.00475 0.07806250 0 15.0
1 0.127 0.00475 0.07962500 0 3.0 
0 0.027 0.00475 0.07962500 1 0.003935
1 0.027 0.00775 0.07962500 0 18.0
0 0.127 0.00775 0.07962500 1 0.003935
1 0.127 0.00775 0.07962500 0 15.0
1 0.127 0.00775 0.08118750 0 3.0 
0 0.027 0.00775 0.08118750 1 0.003935
1 0.027 0.00475 0.08118750 0 18.0
0 0.127 0.00475 0.08118750 1 0.003935
1 0.127 0.00475 0.08118750 0 15.0
1 0.127 0.00475 0.08275000 0 3.0 
0 0.027 0.00475 0.08275000 1 0.003935
1 0.027 0.00775 0.08275000 0 18.0
0 0.127 0.00775 0.08275000 1 0.003935
1 0.127 0.00775 0.08275000 0 15.0
1 0.127 0.00775 0.08431250 0 3.0 
0 0.027 0.00775 0.08431250 1 0.003935
1 0.027 0.00475 0.08431250 0 18.0
0 0.127 0.00475 0.08431250 1 0.003935
1 0.127 0.00475 0.08431250 0 15.0
1 0.127 0.00475 0.08587500 0 3.0 
0 0.027 0.00475 0.08587500 1 0.003935
1 0.027 0.00775 0.08587500 0 18.0
0 0.127 0.00775 0.08587500 1 0.003935
1 0.127 0.00775 0.08587500 0 15.0
1 0.127 0.00775 0.08743750 0 3.0 
0 0.027 0.00775 0.08743750 1 0.003935
1 0.027 0.00475 0.08743750 0 18.0
0 0.127 0.00475 0.08743750 1 0.003935
1 0.127 0.00475 0.08743750 0 15.0
1 0.127 0.00475 0.08900000 0 3.0 
0 0.027 0.00475 0.08900000 1 0.003935
1 0.027 0.00775 0.08900000 0 18.0
0 0.127 0.00775 0.08900000 1 0.003935
1 0.127 0.00775 0.08900000 0 15.0
1 0.127 0.00775 0.09056250 0 3.0 
0 0.027 0.00775 0.09056250 1 0.003935
1 0.027 0.00475 0.09056250 0 18.0
0 0.127 0.00475 0.09056250 1 0.003935
1 0.127 0.00475 0.09056250 0 15.0
1 0.127 0.00475 0.09212500 0 3.0 
0 0.027 0.00475 0.09212500 1 0.003935
1 0.027 0.00775 0.09212500 0 18.0
0 0.127 0.00775 0.09212500 1 0.003935
1 0.127 0.00775 0.09212500 0 15.0
1 0.127 0.00775 0.09368750 0 3.0 
0 0.027 0.00775 0.09368750 1 0.003935
1 0.027 0.00475 0.09368750 0 18.0
0 0.127 0.00475 0.09368750 1 0.003935
1 0.127 0.00475 0.09368750 0 15.0
1 0.127 0.00475 0.09525000 0 3.0 
0 0.027 0.00475 0.09525000 1 0.003935
1 0.027 0.00775 0.09525000 0 18.0
0 0.127 0.00775 0.09525000 1 0.003935
1 0.127 0.00775 0.09525000 0 63.0
1 0.127 0.00775 0.09681250 0 3.0 
0 0.027 0.00775 0.09681250 1 0.003935
1 0.027 0.00475 0.09681250 0 18.0
0 0.127 0.00475 0.09681250 1 0.003935
1 0.127 0.00475 0.09681250 0 63.0
1 0.127 0.00475 0.09837500 0 3.0 
0 0.027 0.00475 0.09837500 1 0.003935
1 0.027 0.00775 0.09837500 0 18.0
0 0.127 0.00775 0.09837500 1 0.003935
1 0.127 0.00775 0.09837500 0 63.0
1 0.127 0.00775 0.09993750 0 3.0 
0 0.027 0.00775 0.09993750 1 0.003935
1 0.027 0.00475 0.09993750 0 18.0
0 0.127 0.00475 0.09993750 1 0.003935
1 0.127 0.00475 0.09993750 0 63.0
1 0.127 0.00475 0.10150000 0 3.0 
0 0.027 0.00475 0.10150000 1 0.003935
1 0.027 0.00775 0.10150000 0 18.0
0 0.127 0.00775 0.10150000 1 0.003935
1 0.127 0.00775 0.10150000 0 63.0
1 0.127 0.00775 0.10306250 0 3.0 
0 0.027 0.00775 0.10306250 1 0.003935
1 0.027 0.00475 0.10306250 0 18.0
0 0.127 0.00475 0.10306250 1 0.003935
1 0.127 0.00475 0.10306250 0 63.0
1 0.127 0.00475 0.10462500 0 3.0 
0 0.027 0.00475 0.10462500 1 0.003935
1 0.027 0.00775 0.10462500 0 18.0
0 0.127 0.00775 0.10462500 1 0.003935
1 0.127 0.00775 0.10462500 0 63.0
1 0.127 0.00775 0.10618750 0 3.0 
0 0.027 0.00775 0.10618750 1 0.003935
1 0.027 0.00475 0.10618750 0 18.0
0 0.127 0.00475 0.10618750 1 0.003935
1 0.127 0.00475 0.10618750 0 63.0
1 0.127 0.00475 0.10775000 0 3.0 
0 0.027 0.00475 0.10775000 1 0.003935
1 0.027 0.00775 0.10775000 0 18.0
0 0.127 0.00775 0.10775000 1 0.003935
1 0.127 0.00775 0.10775000 0 63.0
1 0.127 0.00775 0.10931250 0 3.0 
0 0.027 0.00775 0.10931250 1 0.003935
1 0.027 0.00475 0.10931250 0 18.0
